Name,Line,
Baker Street,Bakerloo,Baker Street
Charing Cross,Bakerloo,Charing Cross
Edgware Road,Bakerloo,Edgware Road
Elephant & Castle,Bakerloo,Elephant & Castle
Embankment,Bakerloo,Embankment
Harlesden,Bakerloo,Harlesden
Harrow & Wealdstone,Bakerloo,Harrow & Wealdstone
Kensal Green,Bakerloo,Kensal Green
Kenton,Bakerloo,Kenton
Kilburn Park,Bakerloo,Kilburn Park
Lambeth North,Bakerloo,Lambeth North
Maida Vale,Bakerloo,Maida Vale
Marylebone,Bakerloo,Marylebone
North Wembley,Bakerloo,North Wembley
Oxford Circus,Bakerloo,Oxford Circus
Piccadilly Circus,Bakerloo,Piccadilly Circus
Queen's Park,Bakerloo,Queen's Park
Regent's Park,Bakerloo,Regent's Park
South Kenton,Bakerloo,South Kenton
Stonebridge Park,Bakerloo,Stonebridge Park
Warwick Avenue,Bakerloo,Warwick Avenue
Waterloo,Bakerloo,Waterloo
Wembley Central,Bakerloo,Wembley Central
Willesden Junction,Bakerloo,Willesden Junction
Bank,Central,Bank
Barkingside,Central,Barkingside
Bethnal Green,Central,Bethnal Green
Bond Street,Central,Bond Street
Buckhurst Hill,Central,Buckhurst Hill
Chancery Lane,Central,Chancery Lane
Chigwell,Central,Chigwell
Debden,Central,Debden
Ealing Broadway,Central,Ealing Broadway
East Acton,Central,East Acton
Epping,Central,Epping
Fairlop,Central,Fairlop
Gants Hill,Central,Gants Hill
Grange Hill,Central,Grange Hill
Greenford,Central,Greenford
Hainault,Central,Hainault
Hanger Lane,Central,Hanger Lane
Holborn,Central,Holborn
Holland Park,Central,Holland Park
Lancaster Gate,Central,Lancaster Gate
Leyton,Central,Leyton
Leytonstone,Central,Leytonstone
Liverpool Street,Central,Liverpool Street
Loughton,Central,Loughton
Marble Arch,Central,Marble Arch
Mile End,Central,Mile End
Newbury Park,Central,Newbury Park
North Acton,Central,North Acton
Northolt,Central,Northolt
Northolt,Central,Northolt
Notting Hill Gate,Central,Notting Hill Gate
Oxford Circus,Central,Oxford Circus
Perivale,Central,Perivale
Queensway,Central,Queensway
Redbridge,Central,Redbridge
Roding Valley,Central,Roding Valley
Ruislip Gardens,Central,Ruislip Gardens
Shepherd's Bush,Central,Shepherd's Bush
Sloane Square,Central,Sloane Square
Snaresbrook,Central,Snaresbrook
South Ruislip,Central,South Ruislip
South Woodford,Central,South Woodford
St.Paul's,Central,St.Paul's
Stratford,Central,Stratford
Stratford,Central,Stratford
Theydon Bois,Central,Theydon Bois
Tottenham Court Road,Central,Tottenham Court Road
Tottenham Court Road,Central,Tottenham Court Road
Wanstead,Central,Wanstead
West Acton,Central,West Acton
West Ruislip,Central,West Ruislip
White City,Central,White City
Woodford,Central,Woodford
Baker Street,Circle,Baker Street
Barbican,Circle,Barbican
Bayswater,Circle,Bayswater
Blackfriars,Circle,Blackfriars
Cannon Street,Circle,Cannon Street
Edgware Road,Circle,Edgware Road
Embankment,Circle,Embankment
Euston Square,Circle,Euston Square
Farringdon,Circle,Farringdon
Farringdon,Circle,Farringdon
Gloucester Road,Circle,Gloucester Road
Great Portland Street,Circle,Great Portland Street
High Street Kensington,Circle,High Street Kensington
King's Cross St.Pancras,Circle,King's Cross St.Pancras
Mansion House,Circle,Mansion House
Monument,Circle,Monument
Moorgate,Circle,Moorgate
Notting Hill Gate,Circle,Notting Hill Gate
Paddington,Circle,#N/A
South Kensington,Circle,South Kensington
St.James's Park,Circle,St.James's Park
Temple,Circle,Temple
Tower Hill,Circle,Tower Hill
Victoria,Circle,Victoria
Westminster,Circle,Westminster
Acton Town,District,Acton Town
Aldgate East,District,Aldgate East
Barking,District,Barking
Barons Court,District,Barons Court
Bayswater,District,Bayswater
Becontree,District,Becontree
Blackfriars,District,Blackfriars
Bow Road,District,Bow Road
Bromley-by-Bow,District,Bromley-By-Bow
Cannon Street,District,Cannon Street
Chiswick Park,District,Chiswick Park
Dagenham East,District,Dagenham East
Dagenham Heathway,District,Dagenham Heathway
Ealing Broadway,District,Ealing Broadway
Ealing Common,District,Ealing Common
Earl's Court,District,Earl's Court
East Ham,District,East Ham
East Putney,District,East Putney
Edgware Road,District,Edgware Road
Elm Park,District,Elm Park
Embankment,District,Embankment
Fulham Broadway,District,Fulham Broadway
Gloucester Road,District,Gloucester Road
Gunnersbury,District,Gunnersbury
Hammersmith ,District,Hammersmith 
High Street Kensington,District,High Street Kensington
Hornchurch,District,Hornchurch
Kensington (Olympia),District,Kensington (Olympia)
Kew Gardens,District,Kew Gardens
Mansion House,District,Mansion House
Mile End,District,Mile End
Monument,District,Monument
Notting Hill Gate,District,Notting Hill Gate
Paddington,District,#N/A
Parsons Green,District,Parsons Green
Plaistow,District,Plaistow
Putney Bridge,District,Putney Bridge
Ravenscourt Park,District,Ravenscourt Park
Richmond,District,Richmond
Richmond,District,Richmond
Sloane Square,District,Sloane Square
South Kensington,District,South Kensington
Southfields,District,Southfields
St.James's Park,District,St.James's Park
Stamford Brook,District,Stamford Brook
Stepney Green,District,Stepney Green
Temple,District,Temple
Tower Hill,District,Tower Hill
Turnham Green,District,Turnham Green
Upminster,District,Upminster
Upminster Bridge,District,Upminster Bridge
Upney,District,Upney
Upton Park,District,Upton Park
Victoria,District,Victoria
West Brompton,District,West Brompton
West Ham,District,West Ham
West Kensington,District,West Kensington
Westminster,District,Westminster
Whitechapel,District,Whitechapel
Wimbledon,District,Wimbledon
Wimbledon Park,District,Wimbledon Park
Aldgate East,Hammersmith & City,Aldgate East
Baker Street,Hammersmith & City,Baker Street
Barbican,Hammersmith & City,Barbican
Barking,Hammersmith & City,Barking
Bow Road,Hammersmith & City,Bow Road
Bromley-by-Bow,Hammersmith & City,Bromley-By-Bow
East Ham,Hammersmith & City,East Ham
Edgware Road,Hammersmith & City,Edgware Road
Euston Square,Hammersmith & City,Euston Square
Farringdon,Hammersmith & City,Farringdon
Farringdon,Hammersmith & City,Farringdon
Goldhawk Road,Hammersmith & City,Goldhawk Road
Great Portland Street,Hammersmith & City,Great Portland Street
Hammersmith ,Hammersmith & City,Hammersmith 
King's Cross St.Pancras,Hammersmith & City,King's Cross St.Pancras
Ladbroke Grove,Hammersmith & City,Ladbroke Grove
Latimer Road,Hammersmith & City,Latimer Road
Mile End,Hammersmith & City,Mile End
Moorgate,Hammersmith & City,Moorgate
Paddington ,Hammersmith & City,Paddington 
Plaistow,Hammersmith & City,Plaistow
Royal Oak,Hammersmith & City,Royal Oak
Shepherd's Bush Market,Hammersmith & City,Shepherd's Bush Market
Stepney Green,Hammersmith & City,Stepney Green
Upton Park,Hammersmith & City,Upton Park
West Ham,Hammersmith & City,West Ham
Westbourne Park,Hammersmith & City,Westbourne Park
Whitechapel,Hammersmith & City,Whitechapel
Baker Street,Jubilee,Baker Street
Bermondsey,Jubilee,Bermondsey
Bond Street,Jubilee,Bond Street
Canary Wharf,Jubilee,Canary Wharf
Canons Park,Jubilee,Canons Park
Dollis Hill,Jubilee,Dollis Hill
Finchley Road,Jubilee,Finchley Road
Green Park,Jubilee,Green Park
Kilburn,Jubilee,Kilburn
Kingsbury,Jubilee,Kingsbury
London Bridge,Jubilee,London Bridge
Neasden,Jubilee,Neasden
North Greenwich,Jubilee,North Greenwich
Queensbury,Jubilee,Queensbury
Southwark,Jubilee,Southwark
St.John's Wood,Jubilee,St.John's Wood
Stanmore,Jubilee,Stanmore
Stratford,Jubilee,Stratford
Stratford,Jubilee,Stratford
Surrey Quays,Jubilee,Surrey Quays
Swiss Cottage,Jubilee,Swiss Cottage
Wembley Park,Jubilee,Wembley Park
West Ham,Jubilee,West Ham
West Hampstead,Jubilee,West Hampstead
West Hampstead,Jubilee,West Hampstead
Westminster,Jubilee,Westminster
Willesden Green,Jubilee,Willesden Green
Aldgate,Metropolitan,Aldgate
Amersham,Metropolitan,Amersham
Barbican,Metropolitan,Barbican
Chalfont & Latimer,Metropolitan,Chalfont & Latimer
Chesham,Metropolitan,Chesham
Chorleywood,Metropolitan,Chorleywood
Croxley,Metropolitan,Croxley
Eastcote,Metropolitan,Eastcote
Euston Square,Metropolitan,Euston Square
Farringdon,Metropolitan,Farringdon
Farringdon,Metropolitan,Farringdon
Finchley Road,Metropolitan,Finchley Road
Great Portland Street,Metropolitan,Great Portland Street
Harrow-on-the-Hill,Metropolitan,Harrow-on-the-Hill
Hillingdon,Metropolitan,Hillingdon
Ickenham,Metropolitan,Ickenham
King's Cross St.Pancras,Metropolitan,King's Cross St.Pancras
Moor Park,Metropolitan,Moor Park
Moorgate,Metropolitan,Moorgate
North Harrow,Metropolitan,North Harrow
Northwick Park,Metropolitan,Northwick Park
Northwood,Metropolitan,Northwood
Northwood Hills,Metropolitan,Northwood Hills
Pinner,Metropolitan,Pinner
Preston Road,Metropolitan,Preston Road
Rayners Lane,Metropolitan,Rayners Lane
Rickmansworth,Metropolitan,Rickmansworth
Ruislip,Metropolitan,Ruislip
Ruislip Manor,Metropolitan,Ruislip Manor
Uxbridge,Metropolitan,Uxbridge
Watford,Metropolitan,Watford
Wembley Park,Metropolitan,Wembley Park
West Harrow,Metropolitan,West Harrow
Angel,Northern,Angel
Archway,Northern,Archway
Balham,Northern,Balham
