Name,Line
Acton Town,District
Acton Town,Piccadilly
Aldgate,Metropolitan
Aldgate East,District
Aldgate East,Hammersmith & City
Alperton,Piccadilly
Amersham,Metropolitan
Angel,Northern
Archway,Northern
Arnos Grove,Piccadilly
Arsenal,Piccadilly
Baker Street,Bakerloo
Baker Street,Circle
Baker Street,Hammersmith & City
Baker Street,Jubilee
Balham,Northern
Bank,Central
Bank,Waterloo & City
Barbican,Circle
Barbican,Hammersmith & City
Barbican,Metropolitan
Barking,District
Barking,Hammersmith & City
Barkingside,Central
Barons Court,District
Barons Court,Piccadilly
Bayswater,Circle
Bayswater,District
Becontree,District
Belsize Park,Northern
Bermondsey,Jubilee
Bethnal Green,Central
Blackfriars,Circle
Blackfriars,District
Blackhorse Road,Victoria
Bond Street,Central
Bond Street,Jubilee
Borough,Northern
Boston Manor,Piccadilly
Bounds Green,Piccadilly
Bow Road,District
Bow Road,Hammersmith & City
Brent Cross,Northern
Brixton,Victoria
Bromley-By-Bow,District
Bromley-By-Bow,Hammersmith & City
Buckhurst Hill,Central
Burnt Oak,Northern
Caledonian Road,Piccadilly
Camden Town,Northern
Canary Wharf,Jubilee
Cannon Street,Circle
Cannon Street,District
Canons Park,Jubilee
Chalfont & Latimer,Metropolitan
Chalk Farm,Northern
Chancery Lane,Central
Charing Cross,Bakerloo
Charing Cross,Northern
Chesham,Metropolitan
Chigwell,Central
Chiswick Park,District
Chorleywood,Metropolitan
Clapham Common,Northern
Clapham North,Northern
Clapham South,Northern
Cockfosters,Piccadilly
Colindale,Northern
Colliers Wood,Northern
Covent Garden,Piccadilly
Croxley,Metropolitan
Dagenham East,District
Dagenham Heathway,District
Debden,Central
Dollis Hill,Jubilee
Ealing Broadway,Central
Ealing Broadway,District
Ealing Common,District
Ealing Common,Piccadilly
Earl's Court,District
Earl's Court,Piccadilly
East Acton,Central
East Finchley,Northern
East Ham,District
East Ham,Hammersmith & City
East Putney,District
Eastcote,Metropolitan
Eastcote,Piccadilly
Edgware,Northern
Edgware Road,Bakerloo
Edgware Road,Circle
Edgware Road,District
Edgware Road,Hammersmith & City
Elephant & Castle,Bakerloo
Elephant & Castle,Northern
Elm Park,District
Embankment,Bakerloo
Embankment,Circle
Embankment,District
