name,zone,total_lines
Acton Town,3,2
Aldgate,1,2
Aldgate East,1,2
All Saints,2,1
Alperton,4,1
Amersham,10,1
Angel,1,1
Archway,2.5,1
Arnos Grove,4,1
Arsenal,2,1
Baker Street,1,5
Balham,3,1
Bank,1,4
Barbican,1,3
Barking,4,2
Barkingside,5,1
Barons Court,2,2
Bayswater,1,2
Beckton,3,1
Beckton Park,3,1
Becontree,5,1
Belsize Park,2,1
Bermondsey,2,1
Bethnal Green,2,1
Blackfriars,1,2
Blackhorse Road,3,1
Blackwall,2,1
Bond Street,1,2
Borough,1,1
Boston Manor,4,1
Bounds Green,3.5,1
Bow Church,2,1
Bow Road,2,2
Brent Cross,3,1
Brixton,2,1
Bromley-By-Bow,2.5,2
Buckhurst Hill,5,1
Burnt Oak,4,1
Caledonian Road,2,1
Camden Town,2,1
Canada Water,2,2
Canary Wharf,2,2
Canning Town,3,2
Cannon Street,1,2
Canons Park,5,1
Chalfont & Latimer,9,1
Chalk Farm,2,1
Chancery Lane,1,1
Charing Cross,1,2
Chesham,10,1
Chigwell,5,1
Chiswick Park,3,1
Chorleywood,8,1
Clapham Common,2,1
Clapham North,2,1
Clapham South,2.5,1
Cockfosters,5,1
Colindale,4,1
Colliers Wood,3,1
Covent Garden,1,1
Crossharbour & London Arena,2,1
Croxley,7,1
Custom House,3,1
Cutty Sark,2.5,1
Cyprus,3,1
Dagenham East,5,1
Dagenham Heathway,5,1
Debden,6,1
Deptford Bridge,2.5,1
Devons Road,2,1
Dollis Hill,3,1
Ealing Broadway,3,2
Ealing Common,3,2
Earl's Court,1.5,2
East Acton,2,1
East Finchley,3,1
East Ham,3.5,2
East India,2.5,1
East Putney,2.5,1
Eastcote,5,2
Edgware,5,1
Edgware Road,1,4
Elephant & Castle,1.5,2
Elm Park,6,1
Elverson Road,2.5,1
Embankment,1,4
Epping,6,1
Euston,1,2
Euston Square,1,3
Fairlop,5,1
Farringdon,1,3
Finchley Central,4,1
Finchley Road,2,2
Finsbury Park,2,1
Fulham Broadway,2,1
Gallions Reach,3,1
Gants Hill,4,1
Gloucester Road,1,3
Golders Green,3,1
Goldhawk Road,2,1
Goodge Street,1,1
Grange Hill,5,1
Great Portland Street,1,3
Green Park,1,3
Greenford,4,1
Greenwich,2.5,1
Gunnersbury,3,1
Hainault,5,1
Hammersmith ,2,3
Hampstead,2.5,1
Hanger Lane,3,1
Harlesden,3,1
Harrow & Wealdstone,5,1
Harrow-on-the-Hill,5,1
Hatton Cross,5.5,1
Heathrow Terminal 4,6,1
Heathrow Terminals 1-2-3,6,1
Hendon Central,3.5,1
Heron Quays,2,1
High Barnet,5,1
High Street Kensington,1,2
Highbury & Islington,2,1
Highgate,3,1
Hillingdon,6,2
Holborn,1,2
Holland Park,2,1
Holloway Road,2,1
Hornchurch,6,1
Hounslow Central,4,1
Hounslow East,4,1
Hounslow West,5,1
Hyde Park Corner,1,1
Ickenham,6,2
Island Gardens,2,1
Kennington,2,1
Kensal Green,2,1
Kensington (Olympia),2,1
Kentish Town,2,1
Kenton,4,1
Kew Gardens,3.5,1
Kilburn,2,1
Kilburn Park,2,1
King George V,3,1
King's Cross St.Pancras,1,6
Kingsbury,4,1
Knightsbridge,1,1
Ladbroke Grove,2,1
Lambeth North,1,1
Lancaster Gate,1,1
Latimer Road,2,1
Leicester Square,1,2
Lewisham,2.5,1
Leyton,3,1
Leytonstone,3.5,1
Limehouse,2,1
Liverpool Street,1,4
London Bridge,1,2
London City Airport,3,1
